player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Deepak Bohara,Chitwan Rhinos (NPL),Batsman,5,5,1,0,100.00,Yes,c †Lokesh Bam b Marchant de Lange,0,0,0,0,0,1,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Dawid Malan,Chitwan Rhinos (NPL),Batsman,17,9,3,0,188.88,Yes,b Marchant de Lange,0,0,0,0,0,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Dev Khanal,Chitwan Rhinos (NPL),Batsman,28,22,3,1,127.27,Yes,c Sam Heazlett b Sandeep Lamichhane,0,0,0,0,0,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Saif Zaib,Chitwan Rhinos (NPL),All-rounder,32,30,1,1,106.66,Yes,c Sam Heazlett b Sandeep Lamichhane,3,13,1,0,4.33,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,65,38,3,4,171.05,Yes,c Sam Heazlett b Shubham Ranjane,0,0,0,0,0,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,20,14,1,1,142.85,No,not out,3.5,46,1,0,12.00,3,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Amar Routela,Chitwan Rhinos (NPL),Bowler,3,2,0,0,150.00,No,not out,0,0,0,0,0,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3,16,1,0,5.33,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Ranjit Kumar,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,4,21,5,0,5.25,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Kamal Airee,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3,25,2,0,8.33,1,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Arjun Saud,Chitwan Rhinos (NPL),Wicket-keeper,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Biratnagar Kings (NPL)",Win,"Biratnagar Kings (NPL)",Field
Lokesh Bam,Biratnagar Kings (NPL),Wicket-keeper,7,8,0,1,87.50,Yes,c †Arjun Saud b Kamal Airee,0,0,0,0,0,1,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Loss,"Biratnagar Kings (NPL)",Field
George Munsey,Biratnagar Kings (NPL),Batsman,4,5,1,0,80.00,Yes,c Deepak Bohara b Sohail Tanvir,0,0,0,0,0,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Loss,"Biratnagar Kings (NPL)",Field
Naren Bhatta,Biratnagar Kings (NPL),All-rounder,4,10,0,0,40.00,Yes,c Kushal Malla b Ranjit Kumar,2,28,0,0,14.00,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Loss,"Biratnagar Kings (NPL)",Field
Sam Heazlett,Biratnagar Kings (NPL),Batsman,22,11,0,3,200.00,Yes,lbw b Ranjit Kumar,0,0,0,0,0,3,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Loss,"Biratnagar Kings (NPL)",Field
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,0,2,0,0,0.00,Yes,c Kushal Malla b Ranjit Kumar,3,22,0,0,7.33,0,0,0,12,2025-11-26,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Chitwan Rhinos (NPL)",Loss,"Biratnagar Kings (NPL)",Field
